user_id,amount,device_id,location,timestamp,receiver_id,is_fraud
U022,13761.5,attacker_device_7523,Ahmedabad,2025-07-14 17:55:28,MULE042,1
U038,4644.36,device_U038_B,Lucknow,2025-05-26 19:25:29,R068,0
U025,3724.33,device_U025_A,Lucknow,2025-09-13 11:52:17,R109,0
U030,5434.8,device_U030_A,Hyderabad,2025-10-13 20:43:37,R179,0
U017,5987.17,device_U017_B,Mumbai,2025-03-16 12:45:38,R164,0
U010,7400.83,device_U010_A,Jaipur,2025-03-16 22:34:24,R015,0
U036,3565.42,device_U036_A,Mumbai,2025-02-21 10:06:50,R068,0
U050,1608.43,attacker_device_9284,Chennai,2025-05-21 13:58:28,MULE024,1
U031,5246.92,device_U031_B,Chennai,2025-03-12 16:37:27,R192,0
U008,5957.43,device_U008_A,Ahmedabad,2025-01-31 16:42:48,R163,0
U011,1473.13,device_U011_A,Hyderabad,2025-03-02 11:00:26,R102,0
U031,4149.91,device_U031_A,Chennai,2025-12-03 18:25:14,R149,0
U008,839.27,device_U008_B,Ahmedabad,2025-03-12 13:53:10,R180,0
U034,299.65,device_U034_A,Mumbai,2025-01-21 09:42:03,R145,0
U048,6150.76,device_U048_A,Pune,2025-08-11 20:07:17,R068,0
U024,5645.33,device_U024_B,Kolkata,2025-10-22 14:34:51,R072,0
U045,2121.91,device_U045_B,Pune,2025-03-27 17:38:45,R046,0
U028,5354.35,device_U028_B,Chennai,2025-03-01 13:43:59,R004,0
U020,49473.53,attacker_device_6283,Kolkata,2025-11-09 01:37:08,MULE044,1
U037,3405.89,attacker_device_3416,Bangalore,2025-10-19 23:57:02,MULE012,1
U033,7021.29,device_U033_B,Mumbai,2025-09-27 12:28:24,R159,0
U001,55157.63,attacker_device_8282,Kolkata,2025-01-17 00:58:58,MULE023,1
U010,380035.55,device_U010_A,Jaipur,2025-05-18 06:33:38,MULE050,1
U020,5198.64,device_U020_A,Bangalore,2025-11-23 08:47:42,R033,0
U034,360364.57,attacker_device_5195,Mumbai,2025-09-10 05:54:15,MULE015,1
U041,7236.89,device_U041_A,Delhi,2025-04-30 09:50:28,R001,0
U040,4983.68,device_U040_B,Chennai,2025-09-28 20:22:56,R014,0
U016,7991.72,device_U016_A,Hyderabad,2025-07-06 18:42:19,R117,0
U044,6994.34,device_U044_A,Mumbai,2025-06-12 17:15:36,R144,0
U037,3773.77,device_U037_B,Bangalore,2025-10-25 11:23:10,R078,0
U036,4393.41,device_U036_B,Mumbai,2025-09-11 12:49:09,R019,0
U013,7894.17,device_U013_A,Kolkata,2025-08-29 09:23:55,R040,0
U046,951.35,device_U046_B,Mumbai,2025-01-19 13:59:40,R058,0
U005,3348.87,device_U005_A,Mumbai,2025-09-24 08:28:22,R092,0
U014,3571.86,device_U014_B,Bangalore,2025-12-02 12:37:03,R136,0
U031,793.0,device_U031_B,Chennai,2025-02-23 08:26:12,R081,0
U031,32533.8,attacker_device_8908,Jaipur,2025-03-29 02:05:16,MULE050,1
U049,5944.59,device_U049_B,Mumbai,2025-01-04 19:49:19,R081,0
U008,6472.83,device_U008_B,Ahmedabad,2025-11-20 20:37:47,R172,0
U025,7843.27,device_U025_B,Lucknow,2025-10-28 22:51:09,R049,0
U039,618.89,device_U039_B,Mumbai,2025-08-31 10:40:37,R184,0
U050,389552.11,device_U050_B,Chennai,2025-08-22 08:17:31,MULE041,1
U040,1618.89,device_U040_A,Chennai,2025-04-19 15:35:19,R130,0
U018,6305.7,device_U018_B,Jaipur,2025-09-23 20:16:09,R200,0
U044,73013.11,attacker_device_7792,Hyderabad,2025-01-13 00:00:01,MULE010,1
U007,7950.51,device_U007_A,Mumbai,2025-09-19 14:18:39,R072,0
